Movies,Ratings,Actor 1,Actor 2,Actor 3,Genres,Synopsis
Pledge,5.6,Zachery Byrd,Phillip Andre Botello,Janna Lisa Dombrowsky,"Horror, Thriller","Scott Kinney is an American geologist monitoring a local volcano when the Supergator, a prehistoric alligator recreated from fossilized DNA escapes from a secret bio-engineering research ..."
Voyage to Agatis,6.7,Thomas Goersch,Tatjana Lommel,Paul Whitsun-Jones,"Horror, Mystery",»
The Quatermass Experiment,5.7,Isabel Dean,Hugh Kelly,Eugenia Kuzmina,"Drama, Sci-Fi, Horror","A man obsessed with bird-watching takes on a new hobby, killing young ladies."
First House on the Hill,8.6,Helene Udy,Sonja Kinski,Jesse Boone,Horror,For her newest sculpture artist Lily has an unusual idea: During the exhibit she wants to play anonymous apologies. She sets up an answering machine on a special phone line and publicly ...
North Woods,4.5,Amber Allen,Jacob Batalon,Yûko Nakamura,Horror,»
Expiration,3.1,Brandon Auret,Clive Gilson,Alex Ivanovici,"Horror, Thriller","Russian soldiers accidentally unleash the servant of Dracula, as well as his dog, during excavations of Romania. Together, they set out for America, to find the last descendant of the great..."
Outlast: Whistleblower,3.5,Chimwemwe Miller,Andreas Apergis,Derek Mears,"Adventure, Horror, Mystery",»
Compound Fracture,5.7,Tyler Mane,Muse Watson,Matthew Carey,"Horror, Thriller","When a narcotics deal goes sour and a suspect disappears, leaving only his clothes, Tokyo police question his wife and stake out the nightclub where she works. His disappearance stumps the ..."
Hollows Grove,3.4,Mykelti Williamson,Lance Henriksen,Mitch Eakins,Horror,»
Evil Bong 2: King Bong,5.3,Brett Chukerman,Sonny Carl Davis,John Baer,"Adventure, Comedy, Horror","Evil wreaks pure havoc and bloody murder upon Leslie Van Hooten, a beautiful young girl, and her unsuspecting fellow grad students as they make their way to her family's extravagant and yet..."
Night of the Blood Beast,4.1,Michael Emmet,Angela Greene,Sybil Danning,"Sci-Fi, Horror",»
Lady Krampus,3.5,KateLynn E. Newberry,Tiffani Hilton,Robbie Barnes,Horror,"It's Christmas time in Cleveland, Ohio and four young ladies are on the verge of completing their mandatory thirty days of community service. With only one night to go, they are required to..."
Bare Wench Project: Uncensored,5,Juliet Cariaga,Julie Dey,Antonia Dorian,"Comedy, Horror",»
Alice,8.9,Jarion Monroe,Roger Jackson,Andrew Chaikin,"Action, Fantasy, Horror",An adult film that spoofs The Blair Witch.
Night of the Living Dead 3D: Re-Animation,3,Andrew Divoff,Jeffrey Combs,Sarah Lieving,"Action, Horror",A game with an all new story that takes place after Lewis Carroll's stories. Alice must return to Wonderland and defeat the Queen of Hearts once and for all.
Hooker with a Hacksaw,4.1,Caroline Kopko,Jason Crowe,Steve Guynn,Horror,"After inheriting the family mortuary, a pyrophobic mortician accidentally exposes hundreds of un-cremated bodies to toxic medical waste. As the corpses re-animate, the mortician's ..."
The Night Watchman,4.3,Matt Horan,Jimmy Shaw,Kimberley Tell,"Drama, Horror, Thriller",»
Frankenstein 1970,4.7,Boris Karloff,Tom Duggan,Jana Lund,"Horror, Sci-Fi",Two estranged brothers attempt to reconnect after one has served time in prison and the other remained in their home town and became a Reverend.
Beneath Us,5.1,Lynn Collins,Rigo Sanchez,Josue Aguirre,"Horror, Thriller",5 families of super heroes take on an unknown force led by an alien life form who plans to take over the world and marvels best must defend what is left of New York before matters get worse.
The Haunted House on Kirby Road,5.4,Nina Kiri,Chris Kapeleris,Sammi Barber,"Adventure, Comedy, Horror","After receiving an African fertility mask as a gift Ellen tells her husband William that she's been attacked by masked phantom called 'the Nightmare Man'. As Ellen's paranoia increases, ..."
Psycho-Circus,5.9,John Llewellyn Moxey,Christopher Lee,Leo Genn,"Mystery, Thriller, Horror",»
The Visitors,7.2,Kjell Bergqvist,Lena Endre,Johannes Brost,Horror,"Needing money, the last of the Frankensteins leases his castle out to a film company as he tries to complete his ancestor's gruesome experiments at creating life."
The Cat and the Canary,5.3,Laura La Plante,Creighton Hale,Forrest Stanley,"Comedy, Horror, Mystery","Undocumented workers are lured into a wealthy woman's home with the promise of work, only to discover the terrifying fate she has in store for them."
Devil Dog: The Hound of Hell,7.2,Richard Crenna,Yvette Mimieux,Kim Richards,"Thriller, Horror",A group of 20-somethings set out to discover if an urban myth of a haunted house holds any truth.
Mahal,2.9,Ashok Kumar,Madhubala,M. Kumar,"Drama, Horror, Mystery",A circus becomes the location for stolen loot and murder.
Sick: Survive the Night,1.9,Christina Aceto,Richard Roy Sutton,Robert Nolan,"Horror, Sci-Fi","Frank, Sara and their two children have recently moved into the house of their dreams on the countryside. Frank is disturbed by mysterious sounds and somebody tears down the wallpaper from ..."
Fetish Dolls Die Laughing,5,Laura Romeo,Michael McGovern,Aaron Bernard,"Comedy, Fantasy, Horror",»
Enter the Devil,5.4,Joshua Bryant,Irene Kelly,David S. Cass Sr.,"Horror, Thriller, Western",Relatives of an eccentric millionaire gather in his spooky mansion on the 20th anniversary of his death for the reading of his will.
Encounter,4.4,Justin Arnold,Andrea Nelson,Don Scribner,Horror,A dog that is a minion of Satan terrorizes a suburban family.
Ferozz: The Wild Red Riding Hood,7.2,Dayana Legrá,Roberto Perdomo,Ana Silvia Machado,"Fantasy, Horror","A young lawyer is involved with a ghostly woman in his new house, where the builder and his fiancée died shortly after it was built."
Slut,8.7,Molly McIntyre,James Gallo,Sally Kirkland,"Short, Drama, Horror","Two years into the outbreak, the remaining people struggle day to day for survival. With the infected more active at night, three people seek shelter in an empty home, but with supplies scarce, they'll be lucky to make it out alive."
Five Nights at Freddy's: Forgotten Memories,2.5,Nick Brodsky,Hayden Bryant,Jacob Nonoyama,"Action, Horror, Mystery","Do you remember, as a child, when your parents teased you with the ""Tickle Monster""? It turns out that he's more real (and even more malevolent) than you could have ever imagined! With ..."
C.L.E.A.N.,3,Costas Mandylor,Fred Lobin,Jenny Paris,"Horror, Mystery, Thriller",»
The Vatican Exorcisms,7.8,Piero Maggiò,Joe Marino,Anella Vastola,Horror,Enter the Devil is a great American-made B horror movie. People are disappearing in the wastelands. An occult researcher discovers that a devil-worshipping cult is responsible. Her ...
Isle of the Snake People,4.7,Jack Hill,Boris Karloff,Julissa,"Horror, Mystery",»
Noblesse: Awakening,6.5,Shunsuke Tada,Tasuku Hatanaka,Daisuke Hirakawa,"Animation, Short, Fantasy","A newlywed couple Ted and Lauren rent an old farm house to do a thesis on orbs and set up cameras, Strange ghostly noises and hauntings occur at night. Ted sees video of Lauren, possessed and wandering the fields at night. When their roommate kills himself they decide to do a séance to see what is haunting the house. Little do they know what they hear and fear is nothing they can pray away."
Tarantulas: The Deadly Cargo,7.2,Claude Akins,Charles Frank,Deborah Winters,"Horror, Thriller","A young, attractive widow is protected from her vicious mother-in-law, by a male relative who practices Satanism, and lusts after the old woman's sexy adolescent granddaughter."
El punto frío,5.6,David Solans,Lola Baldrich,Javier Gálego,"Crime, Horror, Thriller",A naive young girl becomes the target of a murderous sociopath when she attempts to reinvent herself to impress the boys in her small Texas town.
"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack",7.4,Chiharu Niiyama,Ryûdô Uzaki,Masahiro Kobayashi,"Action, Adventure, Drama","In order to successfully reverse Afton's work, Mike Schmidt must free the spirit of The Golden Freddy. To do this, he applies at the now closing Freddy Fazbear's Pizza. As he does this, he ..."
Always Be with You,6.3,Julian Cheung,Louis Koo,Charmaine Sheh,"Horror, Thriller",»
Crow's Blood,3,Yuki Kashiwagi,Réna Katô,Jurina Matsui,"Drama, Horror, Sci-Fi","Inside a remote rehab sanatorium, four newly arrived patients, each one with a specific emotional damage, go through hell by discovering and enduring the vicious methods of the sinister doctor's treatments, attempting to stay alive."
To Let,8.5,Macarena Gómez,Nuria González,Adrià Collado,"Horror, Thriller","The Vatican Exorcisms was shot by Joe Marino, an American film-maker who went to Italy to shed light on the phenomenon of exorcisms. Accompanied by Padre Luigi, a true exorcist, Joe travels..."
House of Usher,2.3,Frank Mentier,Michael Cardelle,Jaimyse Haft,"Horror, Thriller",»
Limbo,6.1,Olivier Mathot,Julio Pérez Tabernero,Silvia Solar,"Adventure, Horror, Mystery",Evil scientist runs a veritable army of LSD crazed zombies.
Cannibal Terror,3.7,Seong-won Jang,Eung-soo Kim,Yeong-Seon Kim,"Crime, Drama, Horror","After sleeping for a period of 820 years, the Noblesse wakes to a modernized or a completely different world."
Bloody Reunion,1.9,Jeff Denton,Thomas Downey,Sarah Lieving,"Horror, Mystery, Thriller",An airplane carring coffee beans from South America has some unpleasant stowaways: a hoard of tarantulas which overcome the pilots as the airplane is flying over an orange-producing town in...
The Beast of Bray Road,4.2,Philip Coc,Eric Darins,Daniela Flynn,Horror,»
Murdered: Soul Suspect,2.3,Vernon Wells,Richard Speight Jr.,Kane Hodder,"Crime, Fantasy, Horror",Three ancient guardian beasts awaken to protect Japan against Godzilla.
Dawn of 5 Evils,6.5,Paul Preiss,Robert J. Locke,Nicole Aiken,Horror,"David, a taxi driver who is diagnosed with cancer, kills hotel owner Patrick in a car accident. Patrick's girlfriend Yu-xin then takes over his hotel by the lake which is later haunted by serial suicidal accidents."
The Legend of Bloody Mary,3.3,Greta Volkova,James Carolus,Titus Himmelberger,"Horror, Thriller","20 years have passed since the first clone sheep Dolly was born. With regenerative medical techniques evolutionally advancing over those years, regeneration of human organs, which was ..."
Sharkenstein,3.3,Ye-ryeon Cha,Ok-bin Kim,Seo-hyeong Kim,"Action, Horror, Sci-Fi",»
Voice,3.3,Robert Clarke,Kenne Duncan,Marilyn Harvey,Horror,Mario and his pregnant girlfriend Clara are trying to find in a short period a new apartment to live since they have sold their apartment and they need to move in fifteen days. When Mario ...
The Astounding She-Monster,8.3,Bill Oberst Jr.,Katy Foley,Zach Silverman,"Crime, Horror, Sci-Fi",»
Ditch Day Massacre,7.1,Michelle Bauer,Lina Romay,Analía Ivars,"Horror, Thriller","Victor Reynolds arrives at the notorious House of Usher, whereupon he is greeted by old acquaintances Roderick and Madeline Usher and their servant, Markus. As Victor uncovers more about ..."
Corruption,5.8,Peter Cushing,Sue Lloyd,Noel Trevarthen,Horror,A doctor goes to extreme lengths--even murder--to restore the badly burned face of his fiancée.
Bloodsucking Pharaohs in Pittsburgh,4.9,Jake Dengel,Joe Sharkey,Susann Fletcher,"Comedy, Horror",Two cops and a detective's daughter go after a chainsaw killer.
Skeleton Key 2: 667 Neighbor of the Beast,1.6,John Johnson,William G. Smith,David Simmons,Horror,"If you dare take this trip across that bridge and into the town of nightmares be prepared for what awaits you! BLOOD! BOOBS! And MUSIC NUMBERS! Oh yes, songs about soiling yourself and ..."
Night of the Living Dead,5.6,Calhoun Koenig,Yassie Hawkes,Kayla Elizabeth,Horror,»
Hum Kaun Hai?,4,Amitabh Bachchan,Dimple Kapadia,Dharmendra,"Horror, Drama, Mystery",During a visit to see their wife and mother's grave. Jerry and his daughters Melanie and Barbra are going to experience a night they will never forget.
Jason Voorhees vs. Michael Myers,5.3,Shelly Gene Latane Alexin,Cynthia Bohannon,Chantel Eubanks,"Short, Horror, Thriller",Sandra Williams lives in an isolated house with her kids Sarah and David.While her husband Frank being a army man is away from the house in the war zone. Sandra writes a letter to ...
Giant from the Unknown,4.9,Ed Kemmer,Sally Fraser,Bob Steele,"Drama, Horror",»
Shark in Venice,2.5,Stephen Baldwin,Vanessa Johansson,Hilda van der Meulen,Horror,Micheal and Jason fight against each over using water bending skills.
Stag Night of the Dead,3.2,Sebastian Street,Sophie Lovell Anderson,Bruce Lawrence,"Action, Comedy, Horror","A very large, degenerate, Spanish conqueror is freed from suspended animation by lightning and goes on a killing spree in a small town."
Scarecrow,3.5,Tim Young,Todd Rex,Tiffany Shepis,"Action, Comedy, Drama","The seemingly tranquil waterways of Venice are terrorized by the perfect killing machine. In search of his father who has mysteriously disappeared diving in the city, David stumbles across ..."
Finale,7.1,Anne Bergfeld,Karin Michelsen,Damon Younger,"Horror, Mystery",»
Saw,6.8,Jen Taylor,Troy Lund,Khanh Doan,"Crime, Horror","If the mysterious plague sweeping the nation wasn't bad enough, Dean is still going ahead with his doomed wedding tomorrow morning. That leaves him with a choice. Pick up the button holes ..."
Blade of the Immortal,7.7,Keith Silverstein,Rina Satô,Tomokazu Seki,"Animation, Action, Adventure",»
Blood+,6.2,Katsuyuki Konishi,Hiroyuki Yoshino,Akiko Yajima,"Animation, Action, Adventure","A high school outcast who lives in a trailer with his mother finally meets a friend. He wants to ask her if they can go the next step, but then sees her kissing another boy at a party. He ..."
Wârudo apâtomento horâ,4.9,SABU,Jazz Cutz,Mohammed Abdul Sahib,"Comedy, Horror",»
The Toy Box,7.7,Sean Kenney,Ann Perry,Neal Bishop,"Horror, Sci-Fi","During the night of the biggest sports final of the year, two girls working in a gas station experience strange incidents. Is it just staged pranks or is it something of a more aggressive intent?"
